ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Nawanjofu,UG20360111,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Nawanyago,UG20440205,Buzaaya,UG204402,Kamuli,UG2044,Eastern,UG2
Nawanyingi,UG20390208,Kigulu,UG203902,Iganga,UG2039,Eastern,UG2
Naweyo,UG20360112,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Nawuyo Town Council,UG20540122,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Nazigo,UG10100205,Ntenjeru,UG101002,Kayunga,UG1010,Central,UG1
Ndagwe,UG10150108,Bukoto,UG101501,Lwengo,UG1015,Central,UG1
Ndaiga,UG41110116,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Ndeija,UG41340104,Rwampara,UG413401,Rwampara,UG4134,Western,UG4
Ndejje Division,UG10260503,Makindye Ssabagabo Municipality,UG102605,Wakiso,UG1026,Central,UG1
Ndhew,UG30910205,Padyere,UG309102,Nebbi,UG3091,Northern,UG3
Nduguto,UG41030108,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Nebbi,UG30910206,Padyere,UG309102,Nebbi,UG3091,Northern,UG3
Ngai,UG30960110,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Ngamba,UG41030109,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Ngando,UG10030106,Butambala,UG100301,Butambala,UG1003,Central,UG1
Ngarama,UG41080106,Bukanga,UG410801,Isingiro,UG4108,Western,UG4
Ngariam,UG20470103,Katakwi,UG204701,Katakwi,UG2047,Eastern,UG2
Ngenge,UG20500113,Kween,UG205001,Kween,UG2050,Eastern,UG2
Ngetta,UG30830108,Erute,UG308301,Lira,UG3083,Northern,UG3
Ngogwe,UG10010104,Buikwe,UG100101,Buikwe,UG1001,Central,UG1
Ngoleriet,UG30900108,Bokora,UG309001,Napak,UG3090,Northern,UG3
Ngoma,UG10220111,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Ngoma,UG41290402,Rushenyi,UG412904,Ntungamo,UG4129,Western,UG4
Ngoma Town Council,UG10220112,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Ngora,UG20580104,Ngora,UG205801,Ngora,UG2058,Eastern,UG2
Ngora Town Council,UG20580105,Ngora,UG205801,Ngora,UG2058,Eastern,UG2
Ngwedo,UG41020107,Buliisa,UG410201,Buliisa,UG4102,Western,UG4
Njeru Division,UG10010401,Njeru Municipality,UG100104,Buikwe,UG1001,Central,UG1
Nkandwa,UG10120119,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Nkokonjeru Town Council,UG10010105,Buikwe,UG100101,Buikwe,UG1001,Central,UG1
Nkoma,UG41130110,Kibale,UG411301,Kamwenge,UG4113,Western,UG4
Nkoma Town Council,UG41130111,Kibale,UG411301,Kamwenge,UG4113,Western,UG4
Nkondo,UG20380106,Budiope,UG203801,Buyende,UG2038,Eastern,UG2
Nkooko,UG41120114,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Nkozi,UG10190107,Mawokota,UG101901,Mpigi,UG1019,Central,UG1
Nkungu,UG41160107,Kazo,UG411601,Kazo,UG4116,Western,UG4
Nombe,UG41280108,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
North Division,UG30800202,Kotido Municipality,UG308002,Kotido,UG3080,Northern,UG3
Northern,UG41210202,Kisoro Municipality,UG412102,Kisoro,UG4121,Western,UG4
Northern Division,UG20390102,Iganga Municipality,UG203901,Iganga,UG2039,Eastern,UG2
Northern Division,UG20440301,Kamuli Municipality,UG204403,Kamuli,UG2044,Eastern,UG2
Northern Division,UG20540202,Mbale Municipality,UG205402,Mbale,UG2054,Eastern,UG2
Northern Division,UG20620202,Soroti Municipality,UG206202,Soroti,UG2062,Eastern,UG2
Northern Division,UG30860201,Moroto Municipality,UG308602,Moroto,UG3086,Northern,UG3
Northern Division,UG41090102,Kabale Municipality,UG410901,Kabale,UG4109,Western,UG4
Northern Divison,UG20490201,Kumi Municipality,UG204902,Kumi,UG2049,Eastern,UG2
Northern Divison,UG30780201,Koboko Municipality,UG307802,Koboko,UG3078,Northern,UG3
Nsambya,UG10120120,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Nsiika Town Council,UG41010106,Buhweju,UG410101,Buhweju,UG4101,Western,UG4
Nsinze,UG20570110,Busiki,UG205701,Namutumba,UG2057,Eastern,UG2
Ntandi Town Council,UG41030110,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Ntara,UG41220105,Kitagwenda,UG412201,Kitagwenda,UG4122,Western,UG4
Ntara Kichwamba Town Council,UG41220106,Kitagwenda,UG412201,Kitagwenda,UG4122,Western,UG4
Ntenjeru,UG10210207,Mukono,UG102102,Mukono,UG1021,Central,UG1
Ntotoro,UG41030111,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Ntunda,UG10210405,Nakifuma,UG102104,Mukono,UG1021,Central,UG1
Ntungamo,UG41290304,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4
Ntuusi,UG10250102,Lwemiyaga,UG102501,Ssembabule,UG1025,Central,UG1
Ntwetwe,UG10120121,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Ntwetwe  Town Council,UG10120122,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Nyabbani,UG41220107,Kitagwenda,UG412201,Kitagwenda,UG4122,Western,UG4
Nyabihoko,UG41290105,Kajara,UG412901,Ntungamo,UG4129,Western,UG4
Nyabiringo,UG41240117,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Nyabubare,UG41050209,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Nyabuharwa,UG41240118,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Nyabuhikye,UG41070108,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Nyabwishenya,UG41210108,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Nyadri,UG30850103,Maracha,UG308501,Maracha,UG3085,Northern,UG3
Nyahuka Town Council,UG41030211,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4
Nyakabande,UG41210109,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Nyakabirizi Division,UG41050103,Bushenyi  Municipality,UG410501,Bushenyi,UG4105,Western,UG4
Nyakagyeme,UG41330105,Bujumbura,UG413301,Rukungiri,UG4133,Western,UG4
Nyakashashara,UG41190108,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Nyakatonzi,UG41150114,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Nyakayojo Division,UG41260107,Kashari,UG412601,Mbarara,UG4126,Western,UG4
Nyakinama,UG41210110,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Nyakinoni,UG41140113,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Nyakishana,UG41010107,Buhweju,UG410101,Buhweju,UG4101,Western,UG4
Nyakishenyi,UG41330205,Rubabo,UG413302,Rukungiri,UG4133,Western,UG4
Nyakitunda,UG41080209,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Nyakiyumbu,UG41150115,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Nyakwae,UG30640108,Labwor,UG306401,Abim,UG3064,Northern,UG3
Nyakyera,UG41290305,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4
Nyamarebe,UG41070109,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Nyamarunda,UG41170110,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Nyamarwa,UG41170111,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Nyamirama,UG41140114,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Nyamitanga Division,UG41260203,Mbarara Municipality,UG412602,Mbarara,UG4126,Western,UG4
Nyamunuka Town Council,UG41290106,Kajara,UG412901,Ntungamo,UG4129,Western,UG4
Nyamuyanja,UG41080210,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Nyamwamba Division,UG41150303,Kasese Municipality,UG411503,Kasese,UG4115,Western,UG4
Nyamweru,UG41300107,Rubanda,UG413001,Rubanda,UG4130,Western,UG4
Nyanga,UG41140115,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Nyangahya Division,UG41250304,Masindi Municipality,UG412503,Masindi,UG4125,Western,UG4
Nyankwanzi,UG41240119,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Nyantungo,UG41240120,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Nyapea,UG31000108,Okoro,UG310001,Zombo,UG3100,Northern,UG3
Nyaravur,UG30910207,Padyere,UG309102,Nebbi,UG3091,Northern,UG3
Nyarubuye,UG41210111,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Nyarushanje,UG41330206,Rubabo,UG413302,Rukungiri,UG4133,Western,UG4
Nyarusiza,UG41210112,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Nyendo-Ssenyange Division,UG10170203,Masaka Municipality,UG101702,Masaka,UG1017,Central,UG1
Nyenga Division,UG10010402,Njeru Municipality,UG100104,Buikwe,UG1001,Central,UG1
Nyero,UG20490105,Kumi,UG204901,Kumi,UG2049,Eastern,UG2
Nyimbwa,UG10140207,Katikamu,UG101402,Luwero,UG1014,Central,UG1
Nyondo,UG20540123,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Nyundo,UG41210113,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Obalanga,UG20460105,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2
Obongi Town Council,UG30930104,Obongi,UG309301,Obongi,UG3093,Northern,UG3
Ochero,UG20410106,Kaberamaido,UG204101,Kaberamaido,UG2041,Eastern,UG2
Odek,UG30940105,Omoro,UG309401,Omoro,UG3094,Northern,UG3
Odravu,UG30990111,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Odupi,UG30720305,Terego,UG307203,Arua,UG3072,Northern,UG3
Offaka,UG30840104,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3
Ofua,UG30650107,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3
Ogoko,UG30840105,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3
Ogolai,UG20270108,Amuria,UG202701,Amuria,UG2027,Eastern,UG2
Ogom,UG30970108,Aruu,UG309701,Pader,UG3097,Northern,UG3
Ogor,UG30950103,Otuke,UG309501,Otuke,UG3095,Northern,UG3
Ogur,UG30830109,Erute,UG308301,Lira,UG3083,Northern,UG3
Ogwette,UG30950104,Otuke,UG309501,Otuke,UG3095,Northern,UG3
Ojwina Division,UG30830203,Lira Municipality,UG308302,Lira,UG3083,Northern,UG3
Okollo,UG30840106,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3
Okungur,UG20460106,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2
Okwalongwen,UG30730110,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3
Okwang,UG30950105,Otuke,UG309501,Otuke,UG3095,Northern,UG3
Okwerodot,UG30790107,Kole,UG307901,Kole,UG3079,Northern,UG3
Okwongodul,UG30730111,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3
Oleba,UG30850104,Maracha,UG308501,Maracha,UG3085,Northern,UG3
Olilim,UG30950106,Otuke,UG309501,Otuke,UG3095,Northern,UG3
Olio,UG20600204,Serere,UG206002,Serere,UG2060,Eastern,UG2
Olok,UG20590209,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Oluffe,UG30850105,Maracha,UG308501,Maracha,UG3085,Northern,UG3
Oluko,UG30720205,Ayivu,UG307202,Arua,UG3072,Northern,UG3
Oluvu,UG30850106,Maracha,UG308501,Maracha,UG3085,Northern,UG3
Omiya Anyima,UG30770108,Chua,UG307701,Kitgum,UG3077,Northern,UG3
Omiya Pacwa,UG30660110,Agago,UG306601,Agago,UG3066,Northern,UG3
Omodoi,UG20470203,Toroma,UG204702,Katakwi,UG2047,Eastern,UG2
Omoro,UG30670109,Moroto,UG306701,Alebtong,UG3067,Northern,UG3
Omoro Town Council,UG30940106,Omoro,UG309401,Omoro,UG3094,Northern,UG3
Omot,UG30660111,Agago,UG306601,Agago,UG3066,Northern,UG3
Omugo,UG30720306,Terego,UG307203,Arua,UG3072,Northern,UG3
Ongako,UG30940107,Omoro,UG309401,Omoro,UG3094,Northern,UG3
Ongino,UG20490106,Kumi,UG204901,Kumi,UG2049,Eastern,UG2
Ongongoja,UG20470104,Katakwi,UG204701,Katakwi,UG2047,Eastern,UG2
Opwateta,UG20590102,Butebo,UG205901,Pallisa,UG2059,Eastern,UG2
Orom,UG30770109,Chua,UG307701,Kitgum,UG3077,Northern,UG3
Orum,UG30950107,Otuke,UG309501,Otuke,UG3095,Northern,UG3
Orungo,UG20270109,Amuria,UG202701,Amuria,UG2027,Eastern,UG2
Osukuru,UG20630107,Tororo,UG206301,Tororo,UG2063,Eastern,UG2
Otuboi,UG20420107,Kalaki,UG204201,Kalaki,UG2042,Eastern,UG2
Otuke Town Council,UG30950108,Otuke,UG309501,Otuke,UG3095,Northern,UG3
Otwal,UG30960111,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Oyam Town Council,UG30960112,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Paacwa,UG41110117,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Pabo,UG30700105,Kilak,UG307001,Amuru,UG3070,Northern,UG3
Pacara,UG30650108,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3
Pader,UG30970109,Aruu,UG309701,Pader,UG3097,Northern,UG3
Pader Town Council,UG30970110,Aruu,UG309701,Pader,UG3097,Northern,UG3
Padibe East,UG30820105,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Padibe Town Council,UG30820106,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Padibe West,UG30820107,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Pager Division,UG30770202,Kitgum Municipality,UG307702,Kitgum,UG3077,Northern,UG3
Paicho,UG30740103,Aswa,UG307401,Gulu,UG3074,Northern,UG3
Paidha,UG31000109,Okoro,UG310001,Zombo,UG3100,Northern,UG3
Paidha Town Council,UG31000110,Okoro,UG310001,Zombo,UG3100,Northern,UG3
Paimol,UG30660112,Agago,UG306601,Agago,UG3066,Northern,UG3
Pajule,UG30970111,Aruu,UG309701,Pader,UG3097,Northern,UG3
Pajulu,UG30720206,Ayivu,UG307202,Arua,UG3072,Northern,UG3
Pakanyi,UG41250103,Bujenje,UG412501,Masindi,UG4125,Western,UG4
Pakele,UG30650109,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3
Pakwach,UG30980102,Jonam,UG309801,Pakwach,UG3098,Northern,UG3
Pakwach Town Council,UG30980103,Jonam,UG309801,Pakwach,UG3098,Northern,UG3
Palabek Gem,UG30820108,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Palabek Kal,UG30820109,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Palabek Ogili,UG30820110,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Palam,UG20470105,Katakwi,UG204701,Katakwi,UG2047,Eastern,UG2
Palaro,UG30740104,Aswa,UG307401,Gulu,UG3074,Northern,UG3
Pallisa,UG20590210,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Pallisa Town Council,UG20590211,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Paloga,UG30820111,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Pandwong Division,UG30770203,Kitgum Municipality,UG307702,Kitgum,UG3077,Northern,UG3
Panyangara,UG30800104,Jie,UG308001,Kotido,UG3080,Northern,UG3
Panyango,UG30980104,Jonam,UG309801,Pakwach,UG3098,Northern,UG3
Panyimur,UG30980105,Jonam,UG309801,Pakwach,UG3098,Northern,UG3
Parabongo,UG30660113,Agago,UG306601,Agago,UG3066,Northern,UG3
Parombo,UG30910208,Padyere,UG309102,Nebbi,UG3091,Northern,UG3
Patiko,UG30740105,Aswa,UG307401,Gulu,UG3074,Northern,UG3
Patongo,UG30660114,Agago,UG306601,Agago,UG3066,Northern,UG3
Patongo Town Council,UG30660115,Agago,UG306601,Agago,UG3066,Northern,UG3
Pawor,UG30840107,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3
Paya,UG20630309,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Pece Division,UG30740204,Gulu Municipality,UG307402,Gulu,UG3074,Northern,UG3
Petete,UG20370106,Butebo,UG203701,Butebo,UG2037,Eastern,UG2
Petta,UG20630310,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Pingire,UG20600107,Kasilo,UG206001,Serere,UG2060,Eastern,UG2
Puranga,UG30970112,Aruu,UG309701,Pader,UG3097,Northern,UG3
Purongo,UG30920108,Nwoya,UG309201,Nwoya,UG3092,Northern,UG3
Puti-Puti,UG20590212,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Railway Division,UG30830204,Lira Municipality,UG308302,Lira,UG3083,Northern,UG3
Rakai Town Council,UG10240111,Kooki,UG102401,Rakai,UG1024,Central,UG1
Rengen,UG30800105,Jie,UG308001,Kotido,UG3080,Northern,UG3
Rhino Camp,UG30840108,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3
Rigbo,UG30840109,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3
River Oli Division,UG30720102,Arua Municipality,UG307201,Arua,UG3072,Northern,UG3
Riwo,UG20330109,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Romogi,UG30990112,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Rubaare,UG41290403,Rushenyi,UG412904,Ntungamo,UG4129,Western,UG4
Rubaare Town Council,UG41290404,Rushenyi,UG412904,Ntungamo,UG4129,Western,UG4
Rubaga Division,UG10080105,KCCA,UG100801,Kampala,UG1008,Central,UG1
Rubanda Town Council,UG41300108,Rubanda,UG413001,Rubanda,UG4130,Western,UG4
Rubaya,UG41090209,Ndorwa,UG410902,Kabale,UG4109,Western,UG4
Rubaya,UG41260108,Kashari,UG412601,Mbarara,UG4126,Western,UG4
Rubindi,UG41260109,Kashari,UG412601,Mbarara,UG4126,Western,UG4
Rubiriziri Town Council,UG41310109,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Rubona Town Council,UG41040110,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Rubongi,UG20630311,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Ruborogota,UG41080211,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Rubuguri Town Council,UG41210114,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Rugaaga,UG41080107,Bukanga,UG410801,Isingiro,UG4108,Western,UG4
Rugando,UG41340105,Rwampara,UG413401,Rwampara,UG4134,Western,UG4
Rugarama,UG41290405,Rushenyi,UG412904,Ntungamo,UG4129,Western,UG4
Rugarama,UG41350110,Sheema,UG413501,Sheema,UG4135,Western,UG4
Rugashari,UG41110118,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Rugendabara,UG41150213,Busongora,UG411502,Kasese,UG4115,Western,UG4
Rugyeyo,UG41140116,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Ruhaama,UG41290306,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4
Ruhija,UG41300109,Rubanda,UG413001,Rubanda,UG4130,Western,UG4
Ruhinda,UG41330106,Bujumbura,UG413301,Rukungiri,UG4133,Western,UG4
Ruhumuro,UG41050210,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Rukiri,UG41070110,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Rukoki,UG41150214,Busongora,UG411502,Kasese,UG4115,Western,UG4
Rukoni East,UG41290307,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4
Rukoni West,UG41290308,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4
Rupa,UG30860103,Matheniko,UG308601,Moroto,UG3086,Northern,UG3
Rurehe,UG41270112,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Rushango Town Council,UG41070111,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Rushasha,UG41080108,Bukanga,UG410801,Isingiro,UG4108,Western,UG4
Ruteete,UG41100115,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Ruteete,UG41110119,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Rutenga,UG41140117,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Rutoto,UG41310110,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Ruyonza,UG41230108,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4
Rwamucucu,UG41320106,Rukiga,UG413201,Rukiga,UG4132,Western,UG4
Rwanyamahembe,UG41260110,Kashari,UG412601,Mbarara,UG4126,Western,UG4
Rwashamaire Town Council,UG41290107,Kajara,UG412901,Ntungamo,UG4129,Western,UG4
Rwebisengo,UG41280109,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
Rwebisengo Town Council,UG41280110,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4
Rweikiniro,UG41290309,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4
Rwemikoma,UG41160108,Kazo,UG411601,Kazo,UG4116,Western,UG4
Rwengwe,UG41010108,Buhweju,UG410101,Buhweju,UG4101,Western,UG4
Rwenkoba Town Council,UG41070112,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Rwentuha,UG41230109,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4
Rwentuha Town Council,UG41050211,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Rwerere Town Council,UG41330107,Bujumbura,UG413301,Rukungiri,UG4133,Western,UG4
Rwimi,UG41040111,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Rwimi Town Council,UG41040112,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Ryakirimira Town Council,UG41090210,Ndorwa,UG410902,Kabale,UG4109,Western,UG4
Ryeru,UG41310111,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Sanga,UG41190109,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Sanga Town Council,UG41190110,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4
Sangar,UG30760120,Dodoth,UG307601,Karenga,UG3076,Northern,UG3
Seeta Namuganga,UG10210406,Nakifuma,UG102104,Mukono,UG1021,Central,UG1
Sembabule Town Council,UG10250206,Mawogola,UG102502,Ssembabule,UG1025,Central,UG1
Semuto,UG10220113,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Semuto Town Council,UG10220114,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Senendet,UG20330110,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Serere Town Council,UG20600205,Serere,UG206002,Serere,UG2060,Eastern,UG2
Sheema Central Division,UG41350204,Sheema Municipality,UG413502,Sheema,UG4135,Western,UG4
Shuuku Town Council,UG41350111,Sheema,UG413501,Sheema,UG4135,Western,UG4
Sibanga,UG20520115,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Sidok,UG30750113,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Sigulu Island,UG20550109,Bukooli,UG205501,Namayingo,UG2055,Eastern,UG2
Sikuda,UG20350214,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Simu,UG20340119,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Sindila,UG41030112,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Sipi,UG20450211,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Sironko Town Council,UG20610120,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Sisiyi,UG20340120,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Sisuni,UG20520116,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Sop-Sop,UG20630312,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Soroti,UG20620106,Soroti,UG206201,Soroti,UG2062,Eastern,UG2
South Division,UG30800203,Kotido Municipality,UG308002,Kotido,UG3080,Northern,UG3
Southern,UG41210203,Kisoro Municipality,UG412102,Kisoro,UG4121,Western,UG4
Southern Division,UG10200302,Mubende Municipality,UG102003,Mubende,UG1020,Central,UG1
Southern Division,UG20440302,Kamuli Municipality,UG204403,Kamuli,UG2044,Eastern,UG2
Southern Division,UG20490202,Kumi Municipality,UG204902,Kumi,UG2049,Eastern,UG2
Southern Division,UG30780202,Koboko Municipality,UG307802,Koboko,UG3078,Northern,UG3
Southern Division,UG41090103,Kabale Municipality,UG410901,Kabale,UG4109,Western,UG4
Southern Division,UG41100202,Fort Portal Municipality,UG411002,Kabarole,UG4110,Western,UG4
Southern Division,UG41330302,Rukungiri Municipality,UG413303,Rukungiri,UG4133,Western,UG4
Southern Divison,UG30860202,Moroto Municipality,UG308602,Moroto,UG3086,Northern,UG3
Ssekanyonyi,UG10180306,Mityana,UG101803,Mityana,UG1018,Central,UG1
Ssi-Bukunja,UG10010106,Buikwe,UG100101,Buikwe,UG1001,Central,UG1
Suam,UG20330111,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Tapac,UG30860104,Matheniko,UG308601,Moroto,UG3086,Northern,UG3
Tara,UG30850107,Maracha,UG308501,Maracha,UG3085,Northern,UG3
Thatha Division,UG30910103,Nebbi Municipality,UG309101,Nebbi,UG3091,Northern,UG3
Tirinyi,UG20480117,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Tokwe,UG41030212,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4
Toroma,UG20470204,Toroma,UG204702,Katakwi,UG2047,Eastern,UG2
Tsekululu,UG20560117,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Ttamu Division,UG10180402,Mityana Municipality,UG101804,Mityana,UG1018,Central,UG1
Tubur,UG20620107,Soroti,UG206201,Soroti,UG2062,Eastern,UG2
Tulel,UG20330112,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Ukusijoni,UG30650110,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3
Uleppi,UG30840110,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3
Unyama,UG30740106,Aswa,UG307401,Gulu,UG3074,Northern,UG3
Uriama,UG30720307,Terego,UG307203,Arua,UG3072,Northern,UG3
Usuk,UG20470106,Katakwi,UG204701,Katakwi,UG2047,Eastern,UG2
Vurra,UG30720404,Vurra,UG307204,Arua,UG3072,Northern,UG3
Wabinyonyi,UG10230111,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Wadelai,UG30980106,Jonam,UG309801,Pakwach,UG3098,Northern,UG3
Waibuga,UG20510108,Luuka,UG205101,Luuka,UG2051,Eastern,UG2
Wairasa,UG20530114,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Wakisi Division,UG10010403,Njeru Municipality,UG100104,Buikwe,UG1001,Central,UG1
Wakiso,UG10260113,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Wakiso Town Council,UG10260114,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Wakyato,UG10220115,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Wanale,UG20540124,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Wanale Division,UG20540203,Mbale Municipality,UG205402,Mbale,UG2054,Eastern,UG2
Wankole,UG20440206,Buzaaya,UG204402,Kamuli,UG2044,Eastern,UG2
Warr,UG31000111,Okoro,UG310001,Zombo,UG3100,Northern,UG3
