ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Ihunga,UG41290102,Kajara,UG412901,Ntungamo,UG4129,Western,UG4
Iki-Iki,UG20280201,Iki-Iki,UG202802,Budaka,UG2028,Eastern,UG2
Ikumba,UG41300105,Rubanda,UG413001,Rubanda,UG4130,Western,UG4
Ikumbya,UG20510104,Luuka,UG205101,Luuka,UG2051,Eastern,UG2
Imanyiro,UG20530106,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Inde Town Council,UG30840103,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3
Industrial Divison,UG20540201,Mbale Municipality,UG205402,Mbale,UG2054,Eastern,UG2
Inomo,UG30810105,Kwania,UG308101,Kwania,UG3081,Northern,UG3
Iriiri,UG30900101,Bokora,UG309001,Napak,UG3090,Northern,UG3
Irongo,UG20510105,Luuka,UG205101,Luuka,UG2051,Eastern,UG2
Isango,UG41150103,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Ishaka Divison,UG41050102,Bushenyi  Municipality,UG410501,Bushenyi,UG4105,Western,UG4
Ishongororo,UG41070102,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Ishongororo Town Council,UG41070103,Ibanda,UG410701,Ibanda,UG4107,Western,UG4
Isingiro Town Council,UG41080202,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Itirikwa,UG30650106,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3
Itojo,UG41290301,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4
Itula,UG30930103,Obongi,UG309301,Obongi,UG3093,Northern,UG3
Ivukula,UG20570102,Busiki,UG205701,Namutumba,UG2057,Eastern,UG2
Iwemba,UG20300206,Bukooli,UG203002,Bugiri,UG2030,Eastern,UG2
Iyolwa,UG20630301,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Jaguzi,UG20530107,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Jangokoro,UG31000106,Okoro,UG310001,Zombo,UG3100,Northern,UG3
Kaabong East,UG30750101,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Kaabong Town Council,UG30750102,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Kaabong West,UG30750103,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Kaato,UG20520111,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Kabamba,UG41110103,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Kabambiro,UG41130105,Kibale,UG411301,Kamwenge,UG4113,Western,UG4
Kabasekende,UG41170103,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Kabei,UG20330105,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Kaberamaido,UG20410103,Kaberamaido,UG204101,Kaberamaido,UG2041,Eastern,UG2
Kaberamaido Town Council,UG20410104,Kaberamaido,UG204101,Kaberamaido,UG2041,Eastern,UG2
Kaberebere Town Council,UG41080203,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Kabeywa,UG20450205,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Kabingo,UG41080204,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Kabira,UG10130101,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Kabira,UG41270102,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Kabonera,UG10170103,Bukoto,UG101701,Masaka,UG1017,Central,UG1
Kabonero,UG41040103,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Kabulasoke,UG10050101,Gomba,UG100501,Gomba,UG1005,Central,UG1
